sample_id,label,predicted_label,score
N0253,0,0,0.09
N0254,0,0,0.08
N0255,0,0,0.10
N0256,0,0,0.11
N0257,0,0,0.09
N0258,0,0,0.08
N0259,0,0,0.10
N0260,0,0,0.11
N0261,0,0,0.09
N0262,0,0,0.08
N0263,0,0,0.10
N0264,0,0,0.11
N0265,0,0,0.09
N0266,0,0,0.08
N0267,0,0,0.10
N0268,0,0,0.11
N0269,0,0,0.09
N0270,0,0,0.08
N0271,0,0,0.10
N0272,0,0,0.11
N0273,0,0,0.09
N0274,0,0,0.08
N0275,0,0,0.10
N0276,0,0,0.11
N0277,0,0,0.09
N0278,0,0,0.08
N0279,0,0,0.10
N0280,0,0,0.11
N0281,0,0,0.09
N0282,0,0,0.08
N0283,0,0,0.10
N0284,0,0,0.11
N0285,0,0,0.09
N0286,0,0,0.08
N0287,0,0,0.10
N0288,0,0,0.11
N0289,0,0,0.09
N0290,0,0,0.08
N0291,0,0,0.10
N0292,0,0,0.11
N0293,0,0,0.09
N0294,0,0,0.08
N0295,0,0,0.10
N0296,0,0,0.11
N0297,0,0,0.09
N0298,0,0,0.08
N0299,0,0,0.10
N0300,0,1,0.92
